[SNA31619, SNA96271]=0.08416988416988418
[DAI43223, ELE17451]=0.08412903225806452
[SNA45677, SNA80324]=0.08409986859395532
[DAI31081, GRO85051]=0.08401976935749589
[FRO85978, GRO71621]=0.08385416666666666
[GRO99222, ELE26917]=0.08376963350785341
[ELE91337, GRO46854]=0.0837129840546697
[DAI91290, GRO30386]=0.08369565217391305
[DAI75645, FRO31317]=0.08369098712446352
[GRO30386, DAI22896]=0.08367514356029532
[SNA18336, GRO81087]=0.08360655737704918
[GRO71621, GRO81087]=0.08360655737704918
[DAI63921, DAI22177]=0.08358942839582052
[ELE74009, SNA99873]=0.08353336533845415
[GRO71621, SNA80324]=0.08344283837056504
[GRO46854, GRO71621]=0.08333333333333333
[GRO15017, DAI75645]=0.08333333333333333
[FRO80039, ELE34057]=0.08327736736064473
[DAI43223, ELE92920]=0.08294573643410853
[ELE53126, ELE74482]=0.08282674772036475
